no,student_id,first_name,last_name,gender,date_of_birth,social_id
1,21127003,Bich,Le,Female,03012003,456789123
2,21127004,Chau,Pham,Female,04012003,789123456
3,21127005,Dang,Vu,Male,05012003,321654987
4,21127006,Duc,Vo,Male,06012003,654987321
5,21127007,Giang,Do,Female,07012003,147258369
6,21127008,Hai,Dinh,Male,08012003,369147258
7,21127009,Hoa,Ngo,Female,09012003,258369147
8,21127009,Hoa,Ngo,Female,09012003,258369147
9,21127011,Huong,Truong,Female,11/01/2003,741852963
10,21127012,Khanh,Bui,Male,12/01/2003,963852741
11,21127013,Lan,Phan,Female,13/01/2003,369852147
12,21127014,Linh,Ha,Female,14/01/2003,159263478
13,21127015,Long,Trinh,Male,15/01/2003,852741963
14,21127016,Minh,Ly,Male,16/01/2003,369147852
15,21127017,Nhan,Chu,Male,17/01/2003,147963852
16,21127018,Nhung,Vo,Female,18/01/2003,789654123
17,21127019,Phong,Nguyen,Male,19/01/2003,321789654
18,21127020,Phu,Luu,Male,20/01/2003,456321789
19,21127020,Phu,Luu,Male,20/01/2003,456321789
20,23127157,Nguyen,Bao,Male,19/03/2005,0844xxxxxx
