no,stu_id,first_name,last_name,gender,date_of_birth,soci_id
1,21127003,Bich,Le,Female,03/01/2003,456789123
2,21127004,Chau,Pham,Female,04/01/2003,789123456
3,21127005,Dang,Vu,Male,05/01/2003,321654987
4,21127006,Duc,Vo,Male,06/01/2003,654987321
5,21127007,Giang,Do,Female,07/01/2003,147258369
6,21127008,Hai,Dinh,Male,08/01/2003,369147258
7,21127009,Hoa,Ngo,Female,09/01/2003,258369147
8,21127011,Huong,Truong,Female,11/01/2003,741852963
9,21127012,Khanh,Bui,Male,12/01/2003,963852741
10,21127013,Lan,Phan,Female,13/01/2003,369852147
11,21127014,Linh,Ha,Female,14/01/2003,159263478
12,21127015,Long,Trinh,Male,15/01/2003,852741963
13,21127016,Minh,Ly,Male,16/01/2003,369147852
14,21127017,Nhan,Chu,Male,17/01/2003,147963852
15,21127018,Nhung,Vo,Female,18/01/2003,789654123
16,21127019,Phong,Nguyen,Male,19/01/2003,321789654
17,21127020,Phu,Luu,Male,20/01/2003,456321789
18,21127069,Hoa,Ngo,Female,09012003,258369147
19,21127070,Phuong,Luu,Male,20/01/2003,456321789
20,23127165,Dang,Nguyen,Male,26/11/2005,087205xxxxxx
