no,student_id,first_name,last_name,gender,date_of_birth,social_id
1,20000001,An,Nguyen,Male,01/01/2002,123456789
2,20000002,Bao,Tran,Female,02/01/2002,987654321
3,20000003,Bich,Le,Female,03/01/2002,456789123
4,20000004,Chau,Pham,Female,04/01/2002,789123456
5,20000005,Dang,Vu,Male,05/01/2002,321654987
6,20000006,Duc,Vo,Male,06/01/2002,654987321
7,20000007,Giang,Do,Female,07/01/2002,147258369
8,20000008,Hai,Dinh,Male,08/01/2002,369147258
9,20000009,Hoa,Ngo,Female,09/01/2002,258369147
10,20000010,Hung,Dang,Male,10/01/2002,852147963
