no,student_id,first_name,last_name,gender,date_of_birth,social_id
1,20000051,Gia,Bui,Female,20/02/2003,789654123
2,20000052,Giao,Nguyen,Female,21/02/2003,321789654
3,20000053,Hanh,Nguyen,Female,22/02/2003,456321789
4,20000054,Hao,Nguyen,Female,23/02/2003,987654123
5,20000055,Hieu,Nguyen,Male,24/02/2003,789321456
6,20000056,Hien,Nguyen,Female,25/02/2003,654123789
7,20000057,Hoa,Nguyen,Female,26/02/2003,321456987
8,20000058,Hoai,Nguyen,Female,27/02/2003,123987654
9,20000059,Hoang,Nguyen,Male,28/02/2003,987654321
10,20000060,Huong,Nguyen,Female,01/03/2003,654321987
