no,student_id,first_name,last_name,gender,date_of_birth,social_id
1,22125031,Tien,Tran,Male,01/05/2004,369258147
2,22125032,Trang,Nguyen,Female,02/05/2004,147963852
3,22125033,Trung,Dang,Male,03/05/2004,852147963
4,22125034,Tuan,Pham,Male,04/05/2004,123456789
5,22125035,Van,Dinh,Female,05/05/2004,987654321
6,22125036,Vu,Nguyen,Male,06/05/2004,456789123
7,22125037,Yen,Le,Female,07/05/2004,789123456
8,22125038,Yen,Phan,Female,08/05/2004,321654987
9,22125039,Yen,Tran,Female,09/05/2004,654987321
10,22125040,Canh,Nguyen,Male,10/05/2004,147258369
