student_id,first_name,last_name,gender,date_of_birth,social_id
22125001,An,Nguyen,Male,01/04/2004,123456789
22125002,Bao,Tran,Female,02/04/2004,987654321
22125003,Bich,Le,Female,03/04/2004,456789123
22125004,Chau,Pham,Female,04/04/2004,789123456
22125005,Dang,Vu,Male,05/04/2004,321654987
22125006,Duc,Vo,Male,06/04/2004,654987321
22125007,Giang,Do,Female,07/04/2004,147258369
22125008,Hai,Dinh,Male,08/04/2004,369147258
22125009,Hoa,Ngo,Female,09/04/2004,258369147
22125010,Hung,Dang,Male,10/04/2004,852147963
