student_id,first_name,last_name,gender,date_of_birth,social_id
22125021,Quan,Tran,Male,21/04/2004,654123789
22125022,Quyen,Le,Female,22/04/2004,987456321
22125023,Sang,Phan,Male,23/04/2004,654321987
22125024,Tai,Duong,Male,24/04/2004,123987456
22125025,Tam,Ho,Male,25/04/2004,321456987
22125026,Thach,Tran,Male,26/04/2004,789321654
22125027,Thang,Ngo,Male,27/04/2004,456789321
22125028,Thao,Nguyen,Female,28/04/2004,987321654
22125029,Thanh,Tran,Female,29/04/2004,654987123
22125030,Thao,Vo,Female,30/04/2004,123654987
