student_id,first_name,last_name,gender,date_of_birth,social_id
21127031,Tien,Tran,Male,31/01/2003,369258147
21127032,Trang,Nguyen,Female,01/02/2003,147963852
21127033,Trung,Dang,Male,02/02/2003,852147963
21127034,Tuan,Pham,Male,03/02/2003,123456789
21127035,Van,Dinh,Female,04/02/2003,987654321
21127036,Vu,Nguyen,Male,05/02/2003,456789123
21127037,Yen,Le,Female,06/02/2003,789123456
21127038,Yen,Phan,Female,07/02/2003,321654987
21127039,Yen,Tran,Female,08/02/2003,654987321
21127040,Canh,Nguyen,Male,09/02/2003,147258369
