no,stu_id,first_name,last_name,gender,date_of_birth,soci_id
1,21127004,Chau,Pham,Female,4012003,789123456
2,21127005,Dang,Vu,Male,5012003,321654987
3,21127006,Duc,Vo,Male,6012003,654987321
4,21127007,Giang,Do,Female,7012003,147258369
5,21127008,Hai,Dinh,Male,8012003,369147258
6,21127009,Hoa,Ngo,Female,9012003,258369147
7,21127011,Huong,Truong,Female,11/1/2003,741852963
8,21127012,Khanh,Bui,Male,12/1/2003,963852741
9,21127013,Lan,Phan,Female,13/01/2003,369852147
10,21127014,Linh,Ha,Female,14/01/2003,159263478
11,21127015,Long,Trinh,Male,15/01/2003,852741963
12,21127016,Minh,Ly,Male,16/01/2003,369147852
13,21127017,Nhan,Chu,Male,17/01/2003,147963852
14,21127018,Nhung,Vo,Female,18/01/2003,789654123
15,21127019,Phong,Nguyen,Male,19/01/2003,321789654
16,21127020,Phu,Luu,Male,20/01/2003,456321789
17,23127158,Nguyen,Bao,Male,19/03/2005,0844xxxxxx
