No,StudentID,FullName,Overall,Final,Midterm,Others
1,21127004,Chau Pham,?,?,?,?
2,21127005,Dang Vu,?,?,?,?
3,21127006,Duc Vo,?,?,?,?
4,21127007,Giang Do,?,?,?,?
5,21127008,Hai Dinh,1,1,1,1
6,21127009,Hoa Ngo,2,2,2,2
7,21127011,Huong Truong,?,?,?,?
8,21127012,Khanh Bui,?,?,?,?
9,21127013,Lan Phan,?,?,?,?
10,21127014,Linh Ha,?,?,?,?
11,21127015,Long Trinh,?,?,?,?
12,21127016,Minh Ly,?,?,?,?
13,21127017,Nhan Chu,?,?,?,?
14,21127018,Nhung Vo,?,?,?,?
15,21127019,Phong Nguyen,?,?,?,?
16,21127020,Phu Luu,?,?,?,?
17,23127158,Nguyen Bao,?,?,?,?
